Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,"TEJUELO GARCIA, JOSE ANTONIO", 943,"DURILLO QUESADA, ADRIAN", 5220,,,,,8-11,6-11,9-11,,,0-3,0 - 1
singles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,"MIRA PASTOR, JUAN CARLOS", 1353,"MASSANET GARCIA, DANIEL", 23328,,,,,9-11,10-12,11-8,7-11,,1-3,0 - 2
singles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,"IBAÑEZ CARRILLO, FRANCISCO JOSE", 1521,"EGEA CARAMILLO, VICTOR MANUEL", 32036,,,,,11-3,11-3,7-11,11-5,,3-1,1 - 2
singles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,"TEJUELO GARCIA, JOSE ANTONIO", 943,"MASSANET GARCIA, DANIEL", 23328,,,,,6-11,7-11,5-11,,,0-3,1 - 3
singles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,"IBAÑEZ CARRILLO, FRANCISCO JOSE", 1521,"DURILLO QUESADA, ADRIAN", 5220,,,,,11-13,11-6,11-7,11-7,,3-1,2 - 3
singles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,"MIRA PASTOR, JUAN CARLOS", 1353,"EGEA CARAMILLO, VICTOR MANUEL", 32036,,,,,11-8,11-2,2-11,11-7,,3-1,3 - 3
doubles,1,1532,TM ROQUETAS,2017357,CTM ILICITANO,,,,,"MIRA PASTOR, JUAN CARLOS",1353,"IBAÑEZ CARRILLO, FRANCISCO JOSE",1521,4-11,6-11,7-11,,,0-3,3 - 4
singles,2,1532,TM ROQUETAS,16022,FRAMUSA TOTANA,"MASSANET GARCIA, DANIEL", 23328,"TUDELA ROMERO, MARIANO", 27789,,,,,8-11,10-12,11-8,9-11,,1-3,0 - 1
singles,2,1532,TM ROQUETAS,16022,FRAMUSA TOTANA,"DURILLO QUESADA, ADRIAN", 5220,"ROS SANDOVAL, ANDRES DAVID", 19540,,,,,1-11,9-11,5-11,,,0-3,0 - 2
singles,2,1532,TM ROQUETAS,16022,FRAMUSA TOTANA,"EGEA JARAMILLO, VICTOR MANUEL", 32036,"TEJEDOR REVERTE, CESAR", 30596,,,,,11-6,12-10,5-11,5-11,4-11,2-3,0 - 3
singles,2,1532,TM ROQUETAS,16022,FRAMUSA TOTANA,"MASSANET GARCIA, DANIEL", 23328,"ROS SANDOVAL, ANDRES DAVID", 19540,,,,,11-13,11-8,10-12,11-5,11-2,3-2,1 - 3
singles,2,1532,TM ROQUETAS,16022,FRAMUSA TOTANA,"EGEA JARAMILLO, VICTOR MANUEL", 32036,"TUDELA ROMERO, MARIANO", 27789,,,,,12-14,11-5,6-11,15-17,,1-3,1 - 4
singles,2,1532,TM ROQUETAS,16022,FRAMUSA TOTANA,"DURILLO QUESADA, ADRIAN", 5220,"TEJEDOR REVERTE, CESAR", 30596,,,,,11-5,8-11,10-12,5-11,,1-3,1 - 5
singles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,"TORRES RAMIREZ, MARIO", 14813,"SOLA RODRIGUEZ, SERGIO", 27485,,,,,11-8,7-11,11-6,11-9,,3-1,1 - 0
singles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,"GIL SANSANO, JUAN", 30501,"MASSANET GARCIA, DANIEL", 23328,,,,,10-12,11-7,6-11,5-11,,1-3,1 - 1
singles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,"DELTELL GARCIA, PABLO", 34068,"DURILLO QUESADA, ADRIAN", 5220,,,,,11-9,8-11,11-9,3-11,11-5,3-2,2 - 1
singles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,"TORRES RAMIREZ, MARIO", 14813,"MASSANET GARCIA, DANIEL", 23328,,,,,8-11,9-11,4-11,,,0-3,2 - 2
singles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,"DELTELL GARCIA, PABLO", 34068,"SOLA RODRIGUEZ, SERGIO", 27485,,,,,11-6,11-4,11-6,,,3-0,3 - 2
singles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,"GIL SANSANO, JUAN", 30501,"DURILLO QUESADA, ADRIAN", 5220,,,,,12-10,9-11,9-11,6-11,,1-3,3 - 3
doubles,5,20212121,CLUB TENIS MESA ELDA,1532,TM ROQUETAS,,,,,"GIL SANSANO, JUAN",30501,"DELTELL GARCIA, PABLO",34068,11-8,5-11,11-7,11-13,4-11,2-3,3 - 4
