Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,10627,CLUB TENIS DE MESA IES EL PALO,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,FERNANDO UTRILLA CABALLERO, 17926,,,,,4-11,11-4,13-11,10-12,11-8,3-2,1 - 0
singles,1,10627,CLUB TENIS DE MESA IES EL PALO,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,JOSE ANTONIO DIAZ DELFIN, 21231,,,,,11-6,11-8,5-11,11-9,,3-1,2 - 0
singles,1,10627,CLUB TENIS DE MESA IES EL PALO,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,ROBERTO GARCIA MUÑOZ, 22418,,,,,9-11,11-9,9-11,12-10,11-6,3-2,3 - 0
singles,1,10627,CLUB TENIS DE MESA IES EL PALO,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,JOSE ANTONIO DIAZ DELFIN, 21231,,,,,11-5,11-5,11-5,,,3-0,4 - 0
singles,1,10627,CLUB TENIS DE MESA IES EL PALO,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,FERNANDO UTRILLA CABALLERO, 17926,,,,,11-5,6-11,14-12,7-11,11-8,3-2,5 - 0
singles,1,10627,CLUB TENIS DE MESA IES EL PALO,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,ROBERTO GARCIA MUÑOZ, 22418,,,,,11-5,11-4,11-5,,,3-0,6 - 0
singles,2,74,CÁRTAMA,2017346,C.A. MIJAS,CRISTIAN CARMONA CANTALEJO, 20106,PABLO VIGO ALVAREZ, 19147,,,,,11-4,11-7,5-11,3-11,11-8,3-2,1 - 0
singles,2,74,CÁRTAMA,2017346,C.A. MIJAS,RICARDO ÁVILA GONZÁLEZ, 20808,CARLOS MARTIN VARGAS, 2576,,,,,8-11,3-11,7-11,,,0-3,1 - 1
singles,2,74,CÁRTAMA,2017346,C.A. MIJAS,DANIEL GONZALEZ CANTALEJO, 20105,VICTOR MORENO BAZUELO, 21974,,,,,11-5,9-11,13-15,11-9,11-6,3-2,2 - 1
singles,2,74,CÁRTAMA,2017346,C.A. MIJAS,CRISTIAN CARMONA CANTALEJO, 20106,CARLOS MARTIN VARGAS, 2576,,,,,7-11,7-11,5-11,,,0-3,2 - 2
singles,2,74,CÁRTAMA,2017346,C.A. MIJAS,DANIEL GONZALEZ CANTALEJO, 20105,PABLO VIGO ALVAREZ, 19147,,,,,11-8,16-18,3-11,11-7,11-8,3-2,3 - 2
singles,2,74,CÁRTAMA,2017346,C.A. MIJAS,RICARDO ÁVILA GONZÁLEZ, 20808,VICTOR MORENO BAZUELO, 21974,,,,,11-9,8-11,8-11,6-11,,1-3,3 - 3
doubles,2,74,CÁRTAMA,2017346,C.A. MIJAS,,,,,CRISTIAN CARMONA CANTALEJO,20106,DANIEL GONZALEZ CANTALEJO,20105,12-14,11-8,13-15,9-11,,1-3,3 - 4
singles,3,74,CÁRTAMA,2018802,CLUB TENIS DE MESA VICAR,ADRIAN DURILLO QUESADA, 5220,VICTOR MAYO BAEZA, 3948,,,,,4-11,6-11,5-11,,,0-3,0 - 1
singles,3,74,CÁRTAMA,2018802,CLUB TENIS DE MESA VICAR,CRISTIAN RAMOS MARTÍNEZ, 17904,DANIEL GONZALEZ CANTALEJO, 20105,,,,,6-11,4-11,5-11,,,0-3,0 - 2
singles,3,74,CÁRTAMA,2018802,CLUB TENIS DE MESA VICAR,DANIEL LOPEZ MANZANO, 21354,CRISTIAN CARMONA CANTALEJO, 20106,,,,,6-11,9-11,6-11,,,0-3,0 - 3
singles,3,74,CÁRTAMA,2018802,CLUB TENIS DE MESA VICAR,ADRIAN DURILLO QUESADA, 5220,DANIEL GONZALEZ CANTALEJO, 20105,,,,,5-11,8-11,5-11,,,0-3,0 - 4
singles,3,74,CÁRTAMA,2018802,CLUB TENIS DE MESA VICAR,DANIEL LOPEZ MANZANO, 21354,VICTOR MAYO BAEZA, 3948,,,,,8-11,8-11,8-11,,,0-3,0 - 5
singles,3,74,CÁRTAMA,2018802,CLUB TENIS DE MESA VICAR,CRISTIAN RAMOS MARTÍNEZ, 17904,CRISTIAN CARMONA CANTALEJO, 20106,,,,,5-11,4-11,11-5,8-11,,1-3,0 - 6
singles,4,74,CÁRTAMA,223,CORTIJO LA MATANZA LA ZUBIA,DANIEL GONZALEZ CANTALEJO, 20105,ALBERTO LOZANO ALTHAMMER, 10900,,,,,11-8,11-9,11-2,,,3-0,1 - 0
singles,4,74,CÁRTAMA,223,CORTIJO LA MATANZA LA ZUBIA,RICARDO ÁVILA GONZÁLEZ, 20808,VICTOR ESPINOSA IBAÑEZ, 17145,,,,,8-11,10-12,5-11,,,0-3,1 - 1
singles,4,74,CÁRTAMA,223,CORTIJO LA MATANZA LA ZUBIA,CRISTIAN CARMONA CANTALEJO, 20106,SERGIO LOZANO ALTHAMMER, 10901,,,,,11-6,14-12,11-6,,,3-0,2 - 1
singles,4,74,CÁRTAMA,223,CORTIJO LA MATANZA LA ZUBIA,DANIEL GONZALEZ CANTALEJO, 20105,VICTOR ESPINOSA IBAÑEZ, 17145,,,,,11-9,9-11,10-12,11-9,7-11,2-3,2 - 2
singles,4,74,CÁRTAMA,223,CORTIJO LA MATANZA LA ZUBIA,CRISTIAN CARMONA CANTALEJO, 20106,ALBERTO LOZANO ALTHAMMER, 10900,,,,,13-11,11-7,13-11,,,3-0,3 - 2
singles,4,74,CÁRTAMA,223,CORTIJO LA MATANZA LA ZUBIA,RICARDO ÁVILA GONZÁLEZ, 20808,SERGIO LOZANO ALTHAMMER, 10901,,,,,9-11,11-2,11-6,11-7,,3-1,4 - 2
singles,5,16101,CLUB DEPORTIVO HUETOR VEGA,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,CRISTIAN CAMERO SALVATIERRA, 19844,,,,,8-11,11-4,11-8,11-7,,3-1,1 - 0
singles,5,16101,CLUB DEPORTIVO HUETOR VEGA,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,PEDRO RIVERO ARIAS, 27551,,,,,4-11,9-11,11-6,1-11,,1-3,1 - 1
singles,5,16101,CLUB DEPORTIVO HUETOR VEGA,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,MANUEL VALVERDE CERVERA, 17868,,,,,9-11,9-11,3-11,,,0-3,1 - 2
singles,5,16101,CLUB DEPORTIVO HUETOR VEGA,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,PEDRO RIVERO ARIAS, 27551,,,,,11-9,10-12,11-7,7-11,11-6,3-2,2 - 2
singles,5,16101,CLUB DEPORTIVO HUETOR VEGA,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,CRISTIAN CAMERO SALVATIERRA, 19844,,,,,13-15,11-4,11-7,11-3,,3-1,3 - 2
singles,5,16101,CLUB DEPORTIVO HUETOR VEGA,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,MANUEL VALVERDE CERVERA, 17868,,,,,9-11,11-8,11-6,11-4,,3-1,4 - 2
singles,7,74,CÁRTAMA,2018803,CLUB TENIS DE MESA ESTEPONA,DANIEL GONZALEZ CANTALEJO, 20105,RUI YAO, 22282,,,,,13-11,10-12,11-8,11-6,,3-1,1 - 0
singles,7,74,CÁRTAMA,2018803,CLUB TENIS DE MESA ESTEPONA,RICARDO ÁVILA GONZÁLEZ, 20808,SALVADOR MIRALLA GARIN, 2082,,,,,11-5,11-2,11-9,,,3-0,2 - 0
singles,7,74,CÁRTAMA,2018803,CLUB TENIS DE MESA ESTEPONA,CRISTIAN CARMONA CANTALEJO, 20106,ANTONIO MIRALLA GARIN, 6065,,,,,11-7,8-11,12-10,6-11,11-5,3-2,3 - 0
singles,7,74,CÁRTAMA,2018803,CLUB TENIS DE MESA ESTEPONA,DANIEL GONZALEZ CANTALEJO, 20105,SALVADOR MIRALLA GARIN, 2082,,,,,11-9,8-11,11-4,11-7,,3-1,4 - 0
singles,7,74,CÁRTAMA,2018803,CLUB TENIS DE MESA ESTEPONA,CRISTIAN CARMONA CANTALEJO, 20106,RUI YAO, 22282,,,,,11-7,12-10,8-11,7-11,11-5,3-2,5 - 0
singles,7,74,CÁRTAMA,2018803,CLUB TENIS DE MESA ESTEPONA,RICARDO ÁVILA GONZÁLEZ, 20808,ANTONIO MIRALLA GARIN, 6065,,,,,10-12,6-11,8-11,,,0-3,5 - 1
singles,9,2018804,CLUB TENIS DE MESA JAEN,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,ANTONIO BLASCO GARCIA, 1835,,,,,11-5,11-9,4-11,11-6,,3-1,1 - 0
singles,9,2018804,CLUB TENIS DE MESA JAEN,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,CARLOS ORTEGA CHAMORRO, 19166,,,,,8-11,7-11,4-11,,,0-3,1 - 1
singles,9,2018804,CLUB TENIS DE MESA JAEN,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,BARTOLOME VALERO OTIÑAR, 6317,,,,,11-6,11-6,11-13,11-4,,3-1,2 - 1
singles,9,2018804,CLUB TENIS DE MESA JAEN,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,CARLOS ORTEGA CHAMORRO, 19166,,,,,11-6,6-11,6-11,11-8,11-6,3-2,3 - 1
singles,9,2018804,CLUB TENIS DE MESA JAEN,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,ANTONIO BLASCO GARCIA, 1835,,,,,8-11,12-14,11-8,4-11,,1-3,3 - 2
singles,9,2018804,CLUB TENIS DE MESA JAEN,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,BARTOLOME VALERO OTIÑAR, 6317,,,,,11-9,11-4,11-5,,,3-0,4 - 2
singles,9,22,TECNIGEN LINARES,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,ALBERTO CASTELLANO GONZALEZ, 21305,,,,,15-13,11-4,11-8,,,3-0,1 - 0
singles,9,22,TECNIGEN LINARES,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,MIGUEL ANGEL RAMIREZ MARTINEZ, 918,,,,,8-11,6-11,9-11,,,0-3,1 - 1
singles,9,22,TECNIGEN LINARES,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,DAVID SAMPEDRO MARTINEZ, 3650,,,,,11-9,11-7,11-7,,,3-0,2 - 1
singles,9,22,TECNIGEN LINARES,74,CÁRTAMA,DANIEL GONZALEZ CANTALEJO, 20105,MIGUEL ANGEL RAMIREZ MARTINEZ, 918,,,,,14-12,11-7,7-11,11-5,,3-1,3 - 1
singles,9,22,TECNIGEN LINARES,74,CÁRTAMA,CRISTIAN CARMONA CANTALEJO, 20106,ALBERTO CASTELLANO GONZALEZ, 21305,,,,,11-6,11-4,9-11,10-12,11-7,3-2,4 - 1
singles,9,22,TECNIGEN LINARES,74,CÁRTAMA,RICARDO ÁVILA GONZÁLEZ, 20808,DAVID SAMPEDRO MARTINEZ, 3650,,,,,8-11,11-9,11-9,12-14,7-11,2-3,4 - 2
singles,10,74,CÁRTAMA,1532,TM ROQUETAS,JESUS MARTIN GARCIA, 2321,RICARDO ÁVILA GONZÁLEZ, 20808,,,,,11-9,11-7,12-10,,,3-0,1 - 0
singles,10,74,CÁRTAMA,1532,TM ROQUETAS,MIGUEL PORCEL RUIZ, 6725,MIGUEL ANGEL VARGAS POSTIGO, 3838,,,,,6-11,11-8,6-11,7-11,,1-3,1 - 1
singles,10,74,CÁRTAMA,1532,TM ROQUETAS,ALONSO RINCON RODRIGUEZ, 19973,DANIEL GONZALEZ CANTALEJO, 20105,,,,,5-11,11-13,12-10,11-6,11-6,3-2,2 - 1
singles,10,74,CÁRTAMA,1532,TM ROQUETAS,JESUS MARTIN GARCIA, 2321,MIGUEL ANGEL VARGAS POSTIGO, 3838,,,,,15-17,9-11,11-4,11-4,11-8,3-2,3 - 1
singles,10,74,CÁRTAMA,1532,TM ROQUETAS,ALONSO RINCON RODRIGUEZ, 19973,RICARDO ÁVILA GONZÁLEZ, 20808,,,,,9-11,11-7,11-7,11-8,,3-1,4 - 1
singles,10,74,CÁRTAMA,1532,TM ROQUETAS,MIGUEL PORCEL RUIZ, 6725,DANIEL GONZALEZ CANTALEJO, 20105,,,,,11-5,11-4,11-3,,,3-0,5 - 1
singles,11,10771,VEGAS DEL GENIL,74,CÁRTAMA,MIGUEL ANGEL VARGAS POSTIGO, 3838,FRANCISCO AVILA HERNANDEZ, 19838,,,,,11-6,7-11,8-11,11-4,11-8,3-2,1 - 0
