Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,20212127,IRUN LEKA ENEA,16100,ATLETICO SAN SEBASTIAN,AITOR MICHELENA VICENTE, 2628,IKER MARTINEZ ZABALA, 1854,,,,,11-9,3-11,9-11,11-4,4-11,2-3,0 - 1
singles,1,20212127,IRUN LEKA ENEA,16100,ATLETICO SAN SEBASTIAN,AIMAR INSAUSTI ECHALUCE, 21747,XABIER TOQUERO SAGARZAZU, 32167,,,,,6-11,5-11,5-11,,,0-3,0 - 2
singles,1,20212127,IRUN LEKA ENEA,16100,ATLETICO SAN SEBASTIAN,XABIER IGLESIAS BUCETA, 22685,ENEKO RODRIGUEZ ZABALETA, 32158,,,,,11-8,8-11,6-11,9-11,,1-3,0 - 3
singles,1,20212127,IRUN LEKA ENEA,16100,ATLETICO SAN SEBASTIAN,AITOR MICHELENA VICENTE, 2628,XABIER TOQUERO SAGARZAZU, 32167,,,,,11-8,11-7,11-8,,,3-0,1 - 3
singles,1,20212127,IRUN LEKA ENEA,16100,ATLETICO SAN SEBASTIAN,XABIER IGLESIAS BUCETA, 22685,IKER MARTINEZ ZABALA, 1854,,,,,7-11,11-2,8-11,12-10,7-11,2-3,1 - 4
singles,1,20212127,IRUN LEKA ENEA,16100,ATLETICO SAN SEBASTIAN,AIMAR INSAUSTI ECHALUCE, 21747,ENEKO RODRIGUEZ ZABALETA, 32158,,,,,11-5,7-11,13-11,11-7,,3-1,2 - 4
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA,20212127,IRUN LEKA ENEA,IÑIGO ARROZPIDE NEGREDO, 21734,IKER PLAZA AMUTXASTEGI, 32168,,,,,6-11,5-11,3-11,,,0-3,0 - 1
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA,20212127,IRUN LEKA ENEA,ARITZ POMPOSO MATEO, 20211,AIMAR MIKELAJAUREGI IRIGOIEN, 28077,,,,,10-12,6-11,14-12,8-11,,1-3,0 - 2
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA,20212127,IRUN LEKA ENEA,JON MENDAZONA GARONA, 8508,HAITZ MINGUEZ AZURMENDI, 28078,,,,,11-8,14-12,11-7,,,3-0,1 - 2
singles,2,10015,C.D FORTUNA K.E - SUPER AMARA,20212127,IRUN LEKA ENEA,IÑIGO ARROZPIDE NEGREDO, 21734,AIMAR MIKELAJAUREGI IRIGOIEN, 28077,,,,,7-11,9-11,10-12,,,0-3,1 - 3
