Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,11,10015,C.D FORTUNA K.E - SUPER AMARA A,859,RODAMIENTOS ARIZTI GASTEIZ,"MARTINEZ CARRILLO, ENDIKA", 31509,"GOMEZ SUN, EKAIN", 31088,,,,,8-11,8-11,11-6,11-6,12-10,3-2,2 - 0
singles,11,10015,C.D FORTUNA K.E - SUPER AMARA A,859,RODAMIENTOS ARIZTI GASTEIZ,"VITORES ROJO, ASIER", 9329,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,9-11,11-5,11-9,11-8,,3-1,3 - 0
singles,11,10015,C.D FORTUNA K.E - SUPER AMARA A,859,RODAMIENTOS ARIZTI GASTEIZ,"OTAZU MORENO, XABIER", 16548,"GOMEZ SUN, EKAIN", 31088,,,,,11-7,7-11,9-11,11-8,5-11,2-3,3 - 1
singles,11,10015,C.D FORTUNA K.E - SUPER AMARA A,859,RODAMIENTOS ARIZTI GASTEIZ,"VITORES ROJO, ASIER", 9329,"POMPOSO MATEO, ARITZ", 20211,,,,,11-9,7-11,2-11,8-11,,1-3,3 - 2
singles,11,10015,C.D FORTUNA K.E - SUPER AMARA A,859,RODAMIENTOS ARIZTI GASTEIZ,"MARTINEZ CARRILLO, ENDIKA", 31509,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,11-7,11-9,11-7,,,3-0,4 - 2
singles,12,10015,C.D FORTUNA K.E - SUPER AMARA A,20233046,C.D FORTUNA K.E - SUPER AMARA B,"ARROZPIDE NEGREDO, IÑIGO", 21734,"MENDIZABAL , JON", 37569,,,,,11-7,7-11,8-11,5-11,,1-3,0 - 1
singles,12,10015,C.D FORTUNA K.E - SUPER AMARA A,20233046,C.D FORTUNA K.E - SUPER AMARA B,"POMPOSO MATEO, ARITZ", 20211,"MARTIN DOMINGUEZ, XABI", 37570,,,,,10-12,11-9,12-10,11-8,,3-1,1 - 1
singles,12,10015,C.D FORTUNA K.E - SUPER AMARA A,20233046,C.D FORTUNA K.E - SUPER AMARA B,"GOMEZ SUN, EKAIN", 31088,"GARCIA CAMARERO, DANEL", 33716,,,,,4-11,11-5,11-7,11-7,,3-1,2 - 1
singles,12,10015,C.D FORTUNA K.E - SUPER AMARA A,20233046,C.D FORTUNA K.E - SUPER AMARA B,"ARROZPIDE NEGREDO, IÑIGO", 21734,"MARTIN DOMINGUEZ, XABI", 37570,,,,,15-17,11-6,7-11,8-11,,1-3,2 - 2
singles,12,10015,C.D FORTUNA K.E - SUPER AMARA A,20233046,C.D FORTUNA K.E - SUPER AMARA B,"GOMEZ SUN, EKAIN", 31088,"MENDIZABAL , JON", 37569,,,,,11-7,14-16,11-4,11-7,,3-1,3 - 2
singles,12,10015,C.D FORTUNA K.E - SUPER AMARA A,20233046,C.D FORTUNA K.E - SUPER AMARA B,"POMPOSO MATEO, ARITZ", 20211,"GARCIA CAMARERO, DANEL", 33716,,,,,11-5,11-6,11-9,,,3-0,4 - 2
singles,13,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,10015,C.D FORTUNA K.E - SUPER AMARA A,"ARROZPIDE NEGREDO, IÑIGO", 21734,"GARCIA PRIETO, IKER", 19913,,,,,3-11,11-7,11-8,5-11,2-11,2-3,0 - 1
singles,13,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,10015,C.D FORTUNA K.E - SUPER AMARA A,"MENDAZONA GARONA, JON", 8508,"MINGUEZ AZURMENDI, HAITZ", 28078,,,,,7-11,11-13,4-11,,,0-3,0 - 2
singles,13,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,10015,C.D FORTUNA K.E - SUPER AMARA A,"POMPOSO MATEO, ARITZ", 20211,"OLEA BELLO, AIEKO", 19912,,,,,9-11,7-11,5-11,,,0-3,0 - 3
singles,13,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,10015,C.D FORTUNA K.E - SUPER AMARA A,"ARROZPIDE NEGREDO, IÑIGO", 21734,"MINGUEZ AZURMENDI, HAITZ", 28078,,,,,5-11,11-6,4-11,9-11,,1-3,0 - 4
singles,13,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,10015,C.D FORTUNA K.E - SUPER AMARA A,"POMPOSO MATEO, ARITZ", 20211,"GARCIA PRIETO, IKER", 19913,,,,,11-3,5-11,7-11,11-9,11-9,3-2,1 - 4
singles,13,2017365,FONTANERIA IRURIETA BERAUN-ERRENTERIA TM B,10015,C.D FORTUNA K.E - SUPER AMARA A,"MENDAZONA GARONA, JON", 8508,"OLEA BELLO, AIEKO", 19912,,,,,5-11,1-11,5-11,,,0-3,1 - 5
singles,14,10015,C.D FORTUNA K.E - SUPER AMARA A,20191583,UNIVERSIDAD DE BURGOS - TPF,"MARTINEZ MEDIAVILLA, RAUL", 2085,"MENDAZONA GARONA, JON", 8508,,,,,11-8,11-2,9-11,11-6,,3-1,1 - 0
singles,14,10015,C.D FORTUNA K.E - SUPER AMARA A,20191583,UNIVERSIDAD DE BURGOS - TPF,"CHAVARRI GONZALEZ, OSCAR", 34278,"POMPOSO MATEO, ARITZ", 20211,,,,,11-6,3-11,1-11,2-11,,1-3,1 - 1
singles,14,10015,C.D FORTUNA K.E - SUPER AMARA A,20191583,UNIVERSIDAD DE BURGOS - TPF,"MENDEZ ALONSO, SERGIO", 30901,"GOMEZ SUN, EKAIN", 31088,,,,,8-11,7-11,7-11,,,0-3,1 - 2
singles,14,10015,C.D FORTUNA K.E - SUPER AMARA A,20191583,UNIVERSIDAD DE BURGOS - TPF,"MARTINEZ MEDIAVILLA, RAUL", 2085,"POMPOSO MATEO, ARITZ", 20211,,,,,3-11,4-11,11-7,11-9,10-12,2-3,1 - 3
singles,14,10015,C.D FORTUNA K.E - SUPER AMARA A,20191583,UNIVERSIDAD DE BURGOS - TPF,"MENDEZ ALONSO, SERGIO", 30901,"MENDAZONA GARONA, JON", 8508,,,,,12-10,3-11,12-10,12-10,,3-1,2 - 3
singles,14,10015,C.D FORTUNA K.E - SUPER AMARA A,20191583,UNIVERSIDAD DE BURGOS - TPF,"CHAVARRI GONZALEZ, OSCAR", 34278,"GOMEZ SUN, EKAIN", 31088,,,,,9-11,7-11,11-7,6-11,,1-3,2 - 4
singles,15,20233045,BASAURI URBI,10015,C.D FORTUNA K.E - SUPER AMARA A,"ARETXAGA AURREKOETXEA, IKER", 32402,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,6-11,11-9,11-5,11-7,,3-1,1 - 0
singles,15,20233045,BASAURI URBI,10015,C.D FORTUNA K.E - SUPER AMARA A,"MACARIO GALINDO, CRISTIAN", 29639,"GOMEZ SUN, EKAIN", 31088,,,,,8-11,11-9,11-7,5-11,8-11,2-3,1 - 1
singles,15,20233045,BASAURI URBI,10015,C.D FORTUNA K.E - SUPER AMARA A,"RAMOS MARCOS, MARIO", 31859,"POMPOSO MATEO, ARITZ", 20211,,,,,9-11,6-11,6-11,,,0-3,1 - 2
singles,15,20233045,BASAURI URBI,10015,C.D FORTUNA K.E - SUPER AMARA A,"ARETXAGA AURREKOETXEA, IKER", 32402,"GOMEZ SUN, EKAIN", 31088,,,,,11-8,14-16,4-11,6-11,,1-3,1 - 3
singles,15,20233045,BASAURI URBI,10015,C.D FORTUNA K.E - SUPER AMARA A,"RAMOS MARCOS, MARIO", 31859,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,7-11,11-13,11-7,9-11,,1-3,1 - 4
singles,15,20233045,BASAURI URBI,10015,C.D FORTUNA K.E - SUPER AMARA A,"MACARIO GALINDO, CRISTIAN", 29639,"POMPOSO MATEO, ARITZ", 20211,,,,,3-11,1-11,11-8,5-11,,1-3,1 - 5
singles,16,10015,C.D FORTUNA K.E - SUPER AMARA A,20201668,CLUB TENIS DE MESA BASAURI,"FERNANDEZ ARCE, KEVIN", 35023,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,11-3,11-13,6-11,12-10,11-8,3-2,1 - 0
singles,16,10015,C.D FORTUNA K.E - SUPER AMARA A,20201668,CLUB TENIS DE MESA BASAURI,"LUCAS AMADOZ, JON", 30023,"IRIARTE ESPINOSA, IMANOL", 3936,,,,,11-13,6-11,5-11,,,0-3,1 - 1
singles,16,10015,C.D FORTUNA K.E - SUPER AMARA A,20201668,CLUB TENIS DE MESA BASAURI,"ARROYO ARGUL, MARKEL", 35525,"POMPOSO MATEO, ARITZ", 20211,,,,,6-11,7-11,5-11,,,0-3,1 - 2
singles,16,10015,C.D FORTUNA K.E - SUPER AMARA A,20201668,CLUB TENIS DE MESA BASAURI,"FERNANDEZ ARCE, KEVIN", 35023,"IRIARTE ESPINOSA, IMANOL", 3936,,,,,5-11,9-11,10-12,,,0-3,1 - 3
singles,16,10015,C.D FORTUNA K.E - SUPER AMARA A,20201668,CLUB TENIS DE MESA BASAURI,"ARROYO ARGUL, MARKEL", 35525,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,7-11,11-7,11-9,11-8,,3-1,2 - 3
singles,16,10015,C.D FORTUNA K.E - SUPER AMARA A,20201668,CLUB TENIS DE MESA BASAURI,"LUCAS AMADOZ, JON", 30023,"POMPOSO MATEO, ARITZ", 20211,,,,,1-11,8-11,3-11,,,0-3,2 - 4
singles,17,10140,ETM AMADIS,10015,C.D FORTUNA K.E - SUPER AMARA A,"BARREDA SALAS, SANTIAGO", 32469,"POMPOSO MATEO, ARITZ", 20211,,,,,11-13,9-11,12-10,7-11,,1-3,0 - 1
singles,17,10140,ETM AMADIS,10015,C.D FORTUNA K.E - SUPER AMARA A,"SANZ REY, ARITZ", 29279,"GOMEZ SUN, EKAIN", 31088,,,,,13-11,11-7,11-5,,,3-0,1 - 1
singles,17,10140,ETM AMADIS,10015,C.D FORTUNA K.E - SUPER AMARA A,"SANZ REY, IBAI", 29280,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,11-5,11-6,5-11,11-8,,3-1,2 - 1
singles,17,10140,ETM AMADIS,10015,C.D FORTUNA K.E - SUPER AMARA A,"BARREDA SALAS, SANTIAGO", 32469,"GOMEZ SUN, EKAIN", 31088,,,,,11-7,13-11,8-11,11-9,,3-1,3 - 1
singles,17,10140,ETM AMADIS,10015,C.D FORTUNA K.E - SUPER AMARA A,"SANZ REY, IBAI", 29280,"POMPOSO MATEO, ARITZ", 20211,,,,,6-11,7-11,6-11,,,0-3,3 - 2
singles,17,10140,ETM AMADIS,10015,C.D FORTUNA K.E - SUPER AMARA A,"SANZ REY, ARITZ", 29279,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,11-7,11-9,11-6,,,3-0,4 - 2
singles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,"GOMEZ SUN, EKAIN", 31088,"GASPAR PINTADO, PEIO", 22695,,,,,6-11,9-11,11-8,5-11,,1-3,0 - 1
singles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,"POMPOSO MATEO, ARITZ", 20211,"ORTEGA RUIZ, PABLO", 20077,,,,,11-8,10-12,3-11,9-11,,1-3,0 - 2
singles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,"IRIARTE ESPINOSA, IMANOL", 3936,"GRANADO NUÑEZ, OIHAN", 22693,,,,,11-7,8-11,11-9,11-7,,3-1,1 - 2
singles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,"GOMEZ SUN, EKAIN", 31088,"ORTEGA RUIZ, PABLO", 20077,,,,,9-11,11-9,11-7,6-11,11-9,3-2,2 - 2
singles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,"IRIARTE ESPINOSA, IMANOL", 3936,"GASPAR PINTADO, PEIO", 22695,,,,,5-11,11-5,11-7,9-11,11-8,3-2,3 - 2
singles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,"POMPOSO MATEO, ARITZ", 20211,"GRANADO NUÑEZ, OIHAN", 22693,,,,,9-11,8-11,7-11,,,0-3,3 - 3
doubles,18,10015,C.D FORTUNA K.E - SUPER AMARA A,2018807,FONTANERIA IRURIETA BERAUN ERRENTERIA TM A,,,,,"IRIARTE ESPINOSA, IMANOL",3936,"GOMEZ SUN, EKAIN",31088,12-10,11-3,11-6,,,3-0,4 - 3
singles,19,10015,C.D FORTUNA K.E - SUPER AMARA A,20191288,PORTUGALETE ANGULO DELIKATESSEN,"PEREZ PASCUAL, IBAI", 29805,"ARROZPIDE NEGREDO, IÑIGO", 21734,,,,,8-11,10-12,11-8,11-8,10-12,2-3,0 - 1
singles,19,10015,C.D FORTUNA K.E - SUPER AMARA A,20191288,PORTUGALETE ANGULO DELIKATESSEN,"AURREKOETXEA LEGARRETA, ANDER", 18832,"POMPOSO MATEO, ARITZ", 20211,,,,,7-11,11-13,5-11,,,0-3,0 - 2
singles,19,10015,C.D FORTUNA K.E - SUPER AMARA A,20191288,PORTUGALETE ANGULO DELIKATESSEN,"TEMPRANO SEVILLA, GABRIEL", 29730,"IRIARTE ESPINOSA, IMANOL", 3936,,,,,9-11,11-7,11-9,9-11,8-11,2-3,0 - 3
singles,19,10015,C.D FORTUNA K.E - SUPER AMARA A,20191288,PORTUGALETE ANGULO DELIKATESSEN,"PEREZ PASCUAL, IBAI", 29805,"POMPOSO MATEO, ARITZ", 20211,,,,,4-11,11-7,11-9,9-11,6-11,2-3,0 - 4
